Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GFP_1 Spectral Count	GFP_2 Spectral Count	P8E2_1 Spectral Count	P8E2_2 Spectral Count	P8E2_T338I_1 Spectral Count	P8E2_T338I_2 Spectral Count	P8E2_T338M_1 Spectral Count	P8E2_T338M_2 Spectral Count	WT_1 Spectral Count	WT_2 Spectral Count	WT_T338I_1 Spectral Count	WT_T338I_2 Spectral Count	WT_T338M_1 Spectral Count	WT_T338M_2 Spectral Count	GFP_1 Unique Spectral Count	GFP_2 Unique Spectral Count	P8E2_1 Unique Spectral Count	P8E2_2 Unique Spectral Count	P8E2_T338I_1 Unique Spectral Count	P8E2_T338I_2 Unique Spectral Count	P8E2_T338M_1 Unique Spectral Count	P8E2_T338M_2 Unique Spectral Count	WT_1 Unique Spectral Count	WT_2 Unique Spectral Count	WT_T338I_1 Unique Spectral Count	WT_T338I_2 Unique Spectral Count	WT_T338M_1 Unique Spectral Count	WT_T338M_2 Unique Spectral Count	GFP_1 Total Spectral Count	GFP_2 Total Spectral Count	P8E2_1 Total Spectral Count	P8E2_2 Total Spectral Count	P8E2_T338I_1 Total Spectral Count	P8E2_T338I_2 Total Spectral Count	P8E2_T338M_1 Total Spectral Count	P8E2_T338M_2 Total Spectral Count	WT_1 Total Spectral Count	WT_2 Total Spectral Count	WT_T338I_1 Total Spectral Count	WT_T338I_2 Total Spectral Count	WT_T338M_1 Total Spectral Count	WT_T338M_2 Total Spectral Count	GFP_1 Intensity	GFP_2 Intensity	P8E2_1 Intensity	P8E2_2 Intensity	P8E2_T338I_1 Intensity	P8E2_T338I_2 Intensity	P8E2_T338M_1 Intensity	P8E2_T338M_2 Intensity	WT_1 Intensity	WT_2 Intensity	WT_T338I_1 Intensity	WT_T338I_2 Intensity	WT_T338M_1 Intensity	WT_T338M_2 Intensity	GFP_1 MaxLFQ Intensity	GFP_2 MaxLFQ Intensity	P8E2_1 MaxLFQ Intensity	P8E2_2 MaxLFQ Intensity	P8E2_T338I_1 MaxLFQ Intensity	P8E2_T338I_2 MaxLFQ Intensity	P8E2_T338M_1 MaxLFQ Intensity	P8E2_T338M_2 MaxLFQ Intensity	WT_1 MaxLFQ Intensity	WT_2 MaxLFQ Intensity	WT_T338I_1 MaxLFQ Intensity	WT_T338I_2 MaxLFQ Intensity	WT_T338M_1 MaxLFQ Intensity	WT_T338M_2 MaxLFQ Intensity	Indistinguishable Proteins
sp|O43172|PRP4_HUMAN	O43172	PRP4_HUMAN	PRPF4	522	Homo sapiens	1:Experimental evidence at protein level	U4/U6 small nuclear ribonucleoprotein Prp4	1.0	0.999	7	190	190	190	1	0	9	2	24	15	29	14	11	10	16	13	34	12	1	0	9	2	24	15	29	14	11	10	16	13	34	12	1	0	9	2	24	15	29	14	11	10	16	13	34	12	11346.369	0.0	322032.6	45858.71	1725748.0	550966.75	3268349.2	719015.0	422117.9	479017.3	937834.8	864844.25	1982579.2	850668.75	0.0	0.0	121866.555	40846.12	383529.56	146344.4	407612.5	185304.69	154670.28	155544.31	270393.0	156831.64	425621.12	173985.7	
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	Homo sapiens	1:Experimental evidence at protein level	D-3-phosphoglycerate dehydrogenase	1.0	0.999	10	297	297	297	25	18	27	19	23	19	24	18	26	18	21	18	24	17	25	18	27	19	23	19	24	18	26	18	21	18	24	17	25	18	27	19	23	19	24	18	26	18	21	18	24	17	364332.4	315812.5	539411.9	377136.3	323154.88	393668.72	442170.62	333328.62	801590.94	360657.7	500863.6	362383.06	411876.72	270757.97	75607.68	64824.89	105436.41	72182.51	72158.58	83799.445	102657.44	67291.35	172952.16	73690.83	106893.4	77919.58	89822.54	57859.156	
sp|O43181|NDUS4_HUMAN	O43181	NDUS4_HUMAN	NDUFS4	175	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.0	0.999	3	43	43	43	2	1	2	2	2	2	8	7	2	2	1	2	6	4	2	1	2	2	2	2	8	7	2	2	1	2	6	4	2	1	2	2	2	2	8	7	2	2	1	2	6	4	27286.299	31460.643	36508.926	34599.484	35056.99	36201.35	81858.53	86569.02	31886.639	54900.98	24644.232	45402.375	70497.52	84700.91	28751.16	33149.6	38468.902	36456.953	36939.016	38144.816	25657.354	33448.793	33598.47	57848.332	25967.254	47839.797	25703.043	39908.94	
sp|O43189|PHF1_HUMAN	O43189	PHF1_HUMAN	PHF1	567	Homo sapiens	1:Experimental evidence at protein level	PHD finger protein 1	0.9999	0.9989	1	3	3	3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43237|DC1L2_HUMAN	O43237	DC1L2_HUMAN	DYNC1LI2	492	Homo sapiens	1:Experimental evidence at protein level	Cytoplasmic dynein 1 light intermediate chain 2	1.0	0.999	8	511	511	511	44	43	36	42	36	26	39	35	32	32	32	40	40	34	44	43	36	42	36	26	39	35	32	32	32	40	40	34	44	43	36	42	36	26	39	35	32	32	32	40	40	34	1675994.2	1034785.94	1355456.1	1370385.5	1825385.4	1341368.0	1840744.6	1339715.5	1488561.5	1656042.4	1851628.8	1433960.0	1556649.5	1297861.9	530663.94	364971.22	413078.12	502314.0	465687.6	490515.28	448423.16	358179.16	417797.06	441908.9	453539.6	395352.44	424412.12	359891.34	
sp|O43242|PSMD3_HUMAN	O43242	PSMD3_HUMAN	PSMD3	534	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 3	1.0	0.999	17	331	331	331	15	4	22	20	12	16	45	35	21	9	27	22	51	32	15	4	22	20	12	16	45	35	21	9	27	22	51	32	15	4	22	20	12	16	45	35	21	9	27	22	51	32	144046.11	92779.67	380435.3	190879.36	434571.47	328346.28	1279350.2	1014435.7	509180.7	281063.34	782227.44	759287.56	1507566.9	1461977.2	81626.72	112086.11	127407.99	105322.07	77791.78	109442.875	125315.21	118014.83	124242.695	99498.5	123365.26	103748.695	148464.92	154690.14	
sp|O43251|RFOX2_HUMAN	O43251	RFOX2_HUMAN	RBFOX2	390	Homo sapiens	1:Experimental evidence at protein level	RNA binding protein fox-1 homolog 2	1.0	0.999	1	43	43	43	0	0	3	1	5	3	3	4	3	4	4	3	4	6	0	0	3	1	5	3	3	4	3	4	4	3	4	6	0	0	3	1	5	3	3	4	3	4	4	3	4	6	0.0	0.0	56074.418	22412.277	83501.61	70999.24	101775.734	130087.87	47381.387	112711.79	79345.07	114683.336	102558.086	139689.95	0.0	0.0	29028.64	22429.625	83566.24	71054.195	101854.516	130188.56	47418.062	56338.88	79406.484	114772.11	102637.47	139798.08	
sp|O43252|PAPS1_HUMAN	O43252	PAPS1_HUMAN	PAPSS1	624	Homo sapiens	1:Experimental evidence at protein level	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.0	0.999	4	85	85	85	0	0	3	3	10	6	10	9	5	7	7	8	9	8	0	0	3	3	10	6	10	9	5	7	7	8	9	8	0	0	3	3	10	6	10	9	5	7	7	8	9	8	0.0	0.0	122380.3	57369.79	497260.7	229278.2	545869.44	351486.12	211685.88	232561.83	379410.1	325357.72	762145.9	445953.72	0.0	0.0	65110.914	57369.79	283878.97	169626.19	331198.1	264214.25	155648.3	181225.75	274464.3	234502.02	313962.25	235468.1	
sp|O43264|ZW10_HUMAN	O43264	ZW10_HUMAN	ZW10	779	Homo sapiens	1:Experimental evidence at protein level	Centromere/kinetochore protein zw10 homolog	1.0	0.999	2	26	26	26	0	0	0	0	3	1	3	4	2	2	2	2	4	3	0	0	0	0	3	1	3	4	2	2	2	2	4	3	0	0	0	0	3	1	3	4	2	2	2	2	4	3	6972.2983	0.0	0.0	0.0	34451.145	12951.736	218091.25	58437.832	180733.11	23316.47	46287.11	41233.594	90753.695	69816.25	58532.043	0.0	0.0	0.0	38517.516	16615.02	70255.945	74966.45	26234.607	29911.328	59379.008	52896.152	116422.58	89563.16	
sp|O43290|SNUT1_HUMAN	O43290	SNUT1_HUMAN	SART1	800	Homo sapiens	1:Experimental evidence at protein level	U4/U6.U5 tri-snRNP-associated protein 1	1.0	0.999	22	583	583	583	15	7	28	18	74	44	70	40	33	32	50	43	83	46	15	7	28	18	74	44	70	40	33	32	50	43	83	46	15	7	28	18	74	44	70	40	33	32	50	43	83	46	535161.94	459587.6	1400937.5	935302.75	3221485.2	2322367.8	3808786.5	2745579.8	2345311.5	1990928.6	3107373.8	2320600.5	4050364.8	2676644.0	380278.38	470651.34	293249.9	188790.8	551795.1	458118.8	589828.2	489223.53	377547.7	383518.7	561672.56	438200.75	651077.0	533414.44	
sp|O43293|DAPK3_HUMAN	O43293	DAPK3_HUMAN	DAPK3	454	Homo sapiens	1:Experimental evidence at protein level	Death-associated protein kinase 3	0.9998	0.999	2	6	6	6	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	22275.033	19129.668	0.0	0.0	0.0	0.0	0.0	15573.594	0.0	0.0	0.0	0.0	0.0	0.0	22275.033	19129.668	0.0	0.0	0.0	0.0	0.0	15573.594	
sp|O43294|TGFI1_HUMAN	O43294	TGFI1_HUMAN	TGFB1I1	461	Homo sapiens	1:Experimental evidence at protein level	Transforming growth factor beta-1-induced transcript 1 protein	1.0	0.999	2	14	14	14	0	0	0	0	2	2	2	2	0	0	3	0	2	1	0	0	0	0	2	2	2	2	0	0	3	0	2	1	0	0	0	0	2	2	2	2	0	0	3	0	2	1	0.0	0.0	20731.014	20221.846	181733.31	145388.61	32813.254	34034.38	184814.75	109730.71	205445.12	155577.66	229392.98	130931.47	0.0	0.0	93495.32	51293.926	85461.39	88774.47	83232.79	86330.24	109647.34	61995.137	92453.47	81926.03	123345.266	82907.87	
sp|O43295|SRGP3_HUMAN	O43295	SRGP3_HUMAN	SRGAP3	1099	Homo sapiens	1:Experimental evidence at protein level	SLIT-ROBO Rho GTPase-activating protein 3	0.999	0.999	4	22	22	22	0	0	1	3	0	6	1	4	0	2	1	1	1	2	0	0	1	3	0	6	1	4	0	2	1	1	1	2	0	0	1	3	0	6	1	4	0	2	1	1	1	2	19882.43	0.0	24699.2	32431.742	234534.36	221999.66	354215.66	249292.22	22722.562	44909.73	156470.33	40671.258	313310.72	240780.06	55887.19	0.0	69426.57	91161.84	68068.1	86816.06	57878.8	63967.15	63870.473	126236.016	76598.59	114322.164	61814.234	82399.74	
sp|O43301|HS12A_HUMAN	O43301	HS12A_HUMAN	HSPA12A	675	Homo sapiens	1:Experimental evidence at protein level	Heat shock 70 kDa protein 12A	1.0	0.999	2	28	28	28	4	4	2	2	1	2	2	2	0	1	2	0	4	2	4	4	2	2	1	2	2	2	0	1	2	0	4	2	4	4	2	2	1	2	2	2	0	1	2	0	4	2	48190.566	113623.16	44919.645	89627.39	30245.988	53442.26	67711.375	58695.6	6793.9556	50078.152	53020.25	62082.367	60972.145	60536.73	23545.352	56581.38	22503.97	17901.982	42124.92	31213.457	40291.58	34386.71	9462.241	24739.271	32461.46	35765.043	30297.193	35180.27	
sp|O43303|CP110_HUMAN	O43303	CP110_HUMAN	CCP110	1012	Homo sapiens	1:Experimental evidence at protein level	Centriolar coiled-coil protein of 110 kDa	1.0	0.999	5	55	55	55	2	2	2	4	3	5	7	5	6	0	3	7	6	3	2	2	2	4	3	5	7	5	6	0	3	7	6	3	2	2	2	4	3	5	7	5	6	0	3	7	6	3	70051.65	31962.527	66563.35	92605.91	145360.23	99199.33	124453.69	85850.25	58998.57	103246.85	83328.88	56131.008	148340.81	78987.45	37879.977	42009.82	29635.357	50286.49	46753.29	43984.984	58545.516	38008.656	36841.703	40802.99	51461.89	34266.473	40664.23	35757.043	
sp|O43306|ADCY6_HUMAN	O43306	ADCY6_HUMAN	ADCY6	1168	Homo sapiens	1:Experimental evidence at protein level	Adenylate cyclase type 6	0.978	0.999	1	54	54	54	2	2	5	5	4	2	4	5	3	6	4	5	5	2	2	2	5	5	4	2	4	5	3	6	4	5	5	2	2	2	5	5	4	2	4	5	3	6	4	5	5	2	58407.145	33358.613	57219.69	79882.41	59229.28	48678.21	58682.87	49164.42	60208.332	48904.293	51535.73	76135.516	58200.418	53644.668	58407.145	33358.613	57219.69	79882.41	59229.28	48678.21	58682.87	49164.42	60208.332	48904.293	51535.73	76135.516	58200.418	53644.668	
sp|O43309|ZSC12_HUMAN	O43309	ZSC12_HUMAN	ZSCAN12	611	Homo sapiens	1:Experimental evidence at protein level	Zinc finger and SCAN domain-containing protein 12	0.9702	0.9988	7	3	1	40	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	6	2	0	2	8	3	11	3	0.0	0.0	0.0	0.0	34439.52	0.0	60679.58	0.0	0.0	0.0	43467.227	0.0	80695.43	0.0	0.0	0.0	0.0	0.0	34439.52	0.0	60679.58	0.0	0.0	0.0	43467.227	0.0	80695.43	0.0	
sp|O43310|CTIF_HUMAN	O43310	CTIF_HUMAN	CTIF	598	Homo sapiens	1:Experimental evidence at protein level	CBP80/20-dependent translation initiation factor	1.0	0.999	2	21	21	21	2	3	2	4	2	1	2	1	0	1	1	1	1	0	2	3	2	4	2	1	2	1	0	1	1	1	1	0	2	3	2	4	2	1	2	1	0	1	1	1	1	0	39537.04	29675.477	35754.98	29934.725	0.0	33214.242	11160.1	27965.6	27204.2	37364.254	20710.402	32539.52	30405.215	26469.03	16580.066	29549.23	35602.87	29807.375	0.0	33072.94	19676.37	27846.627	27088.467	37205.297	20622.295	32401.09	30275.865	26356.424	
sp|O43314|VIP2_HUMAN	O43314	VIP2_HUMAN	PPIP5K2	1243	Homo sapiens	1:Experimental evidence at protein level	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	1.0	0.999	9	118	110	118	13	6	7	4	13	6	20	9	3	0	10	5	16	6	13	6	7	4	13	6	20	9	1	0	8	4	14	5	13	6	7	4	13	6	20	9	3	0	10	5	16	6	503727.28	45368.484	469147.06	117895.89	850492.9	314012.06	752565.44	394771.38	194308.17	92103.39	489468.75	258559.73	572741.4	293791.56	191931.53	36623.664	89358.375	41161.39	148755.19	108551.92	169979.69	120576.555	48733.305	62420.164	95001.49	64591.242	123006.26	105596.586	
sp|O43318|M3K7_HUMAN	O43318	M3K7_HUMAN	MAP3K7	606	Homo sapiens	1:Experimental evidence at protein level	Mitogen-activated protein kinase kinase kinase 7	1.0	0.999	6	123	123	123	11	9	9	9	8	7	15	11	8	6	8	8	8	6	11	9	9	9	8	7	15	11	8	6	8	8	8	6	11	9	9	9	8	7	15	11	8	6	8	8	8	6	553670.44	173859.89	405433.12	324056.06	453224.66	342967.38	363201.4	350577.75	365321.28	248870.53	303590.5	359507.38	353039.5	311399.16	210548.77	128692.16	227447.1	201737.05	192693.77	179517.52	168266.5	152524.52	215076.66	163904.95	236854.61	168020.47	179773.12	157541.86	
sp|O43324|MCA3_HUMAN	O43324	MCA3_HUMAN	EEF1E1	174	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation elongation factor 1 epsilon-1	1.0	0.999	4	84	84	84	5	6	6	4	6	6	5	6	8	8	6	7	5	6	5	6	6	4	6	6	5	6	8	8	6	7	5	6	5	6	6	4	6	6	5	6	8	8	6	7	5	6	46362.633	60051.516	86976.375	65040.324	66626.41	94238.83	117642.38	146474.44	145273.66	109969.89	185262.34	142359.03	180579.19	206925.16	44141.492	40722.547	63450.797	61661.36	35208.016	57816.14	47917.215	57509.61	77436.3	56456.117	65291.11	64597.848	54457.527	47429.863	
sp|O43347|MSI1H_HUMAN	O43347	MSI1H_HUMAN	MSI1	362	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein Musashi homolog 1	1.0	0.999	3	58	55	58	4	5	5	4	4	4	4	4	3	3	3	5	7	3	4	5	5	4	4	4	4	3	3	3	3	5	5	3	4	5	5	4	4	4	4	4	3	3	3	5	7	3	159015.7	264609.75	203748.73	246493.56	207206.45	284998.25	270899.12	295562.53	202574.1	235187.47	261937.06	270240.34	210304.28	288792.5	127335.19	207300.16	167483.12	191151.05	164173.98	228431.67	175601.72	202325.17	178007.64	193908.25	225104.39	208915.73	137474.02	212095.0	
sp|O43353|RIPK2_HUMAN	O43353	RIPK2_HUMAN	RIPK2	540	Homo sapiens	1:Experimental evidence at protein level	Receptor-interacting serine/threonine-protein kinase 2	1.0	0.999	3	17	17	17	0	0	0	3	0	0	3	2	0	0	0	1	5	3	0	0	0	3	0	0	3	2	0	0	0	1	5	3	0	0	0	3	0	0	3	2	0	0	0	1	5	3	0.0	0.0	0.0	42115.04	30188.41	13350.356	116834.91	30242.285	0.0	0.0	61437.215	54624.25	106664.0	83285.97	0.0	0.0	0.0	0.0	31378.34	21066.982	50503.63	47722.598	0.0	0.0	29947.87	28735.885	46869.945	43241.176	
sp|O43361|ZN749_HUMAN	O43361	ZN749_HUMAN	ZNF749	778	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 749	0.9401	0.9972	3	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	2	1	1	6	3	0.0	0.0	0.0	0.0	0.0	0.0	6204.4	0.0	0.0	0.0	0.0	0.0	11885.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6204.4	0.0	0.0	0.0	0.0	0.0	11885.003	0.0	
sp|O43365|HXA3_HUMAN	O43365	HXA3_HUMAN	HOXA3	443	Homo sapiens	1:Experimental evidence at protein level	Homeobox protein Hox-A3	1.0	0.999	2	47	47	47	4	4	7	5	3	4	2	1	2	4	3	5	2	1	4	4	7	5	3	4	2	1	2	4	3	5	2	1	4	4	7	5	3	4	2	1	2	4	3	5	2	1	147246.28	126351.055	132398.61	113478.19	100559.59	131598.12	64714.617	24793.707	79313.19	145534.88	114193.38	132998.5	78429.84	137984.75	57729.363	80186.78	80593.805	83018.01	57192.586	69606.67	50270.54	66491.99	59912.066	92795.52	72938.805	85982.23	47001.195	78293.336	
sp|O43379|WDR62_HUMAN	O43379	WDR62_HUMAN	WDR62	1518	Homo sapiens	1:Experimental evidence at protein level	WD repeat-containing protein 62	1.0	0.999	12	164	164	164	13	4	10	16	15	16	18	9	9	10	9	12	13	10	13	4	10	16	15	16	18	9	9	10	9	12	13	10	13	4	10	16	15	16	18	9	9	10	9	12	13	10	208484.84	155862.7	486252.78	453224.5	707169.0	879126.1	678538.1	810922.06	418396.22	651995.25	492113.25	669636.75	591831.75	733403.94	151149.81	60995.52	139416.06	112777.14	201506.03	157010.75	194451.42	158811.55	164020.62	149676.64	185991.47	142164.52	164765.39	139947.9	
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein R	1.0	0.999	18	1975	1756	1975	20	11	91	58	202	142	241	186	139	116	176	166	261	166	17	8	87	53	184	131	209	157	133	106	155	143	231	142	20	11	91	58	202	142	241	186	139	116	176	166	261	166	333572.22	168254.88	9375584.0	3460272.8	3.6661528E7	1.3796773E7	4.0492832E7	2.566799E7	1.7151394E7	1.1778591E7	3.146287E7	1.4941487E7	4.4244204E7	1.862788E7	771949.6	656838.44	733066.25	360369.62	1739673.9	1095759.2	1893747.4	1340228.6	1229130.5	930440.5	1668711.9	1037113.75	1976328.5	1181349.4	
sp|O43395|PRPF3_HUMAN	O43395	PRPF3_HUMAN	PRPF3	683	Homo sapiens	1:Experimental evidence at protein level	U4/U6 small nuclear ribonucleoprotein Prp3	1.0	0.999	9	373	373	373	34	30	21	22	32	27	34	24	21	27	22	25	27	27	34	30	21	22	32	27	34	24	21	27	22	25	27	27	34	30	21	22	32	27	34	24	21	27	22	25	27	27	2258651.0	1914131.8	1641568.8	1596302.2	2362884.0	1886601.4	2037095.9	1893977.0	1880532.4	2417406.2	2413700.8	2577368.0	1665327.0	1636400.2	616463.5	416382.12	467356.06	581669.7	666528.75	653168.3	623938.25	572081.5	603162.2	625085.56	647282.7	598768.25	510186.53	539443.5	
sp|O43396|TXNL1_HUMAN	O43396	TXNL1_HUMAN	TXNL1	289	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin-like protein 1	1.0	0.999	4	124	124	124	2	1	1	6	6	5	17	12	5	8	10	18	18	15	2	1	1	6	6	5	17	12	5	8	10	18	18	15	2	1	1	6	6	5	17	12	5	8	10	18	18	15	133078.06	91829.805	146449.8	138179.38	214225.69	157547.98	954664.3	409130.1	1107669.4	813384.75	941756.4	1094115.4	1504846.6	764289.4	77738.33	41260.33	117284.11	88024.586	142462.83	123807.78	286579.34	218075.81	357583.03	298183.9	728472.8	415348.12	596196.94	517335.0	
sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	206	Homo sapiens	1:Experimental evidence at protein level	Tumor protein D54	1.0	0.999	8	123	123	123	5	7	11	6	12	10	14	8	10	9	5	9	7	10	5	7	11	6	12	10	14	8	10	9	5	9	7	10	5	7	11	6	12	10	14	8	10	9	5	9	7	10	112213.516	83123.125	151415.81	112433.14	232998.88	208949.86	300456.4	189325.66	203683.64	194953.16	185823.28	160814.9	202371.48	252896.38	48869.77	59406.785	49425.586	65070.82	72129.61	68118.08	74940.34	44950.598	56226.1	54311.688	51532.07	57129.99	58704.336	48458.695	
sp|O43422|P52K_HUMAN	O43422	P52K_HUMAN	THAP12	761	Homo sapiens	1:Experimental evidence at protein level	52 kDa repressor of the inhibitor of the protein kinase	0.978	0.999	1	12	12	12	3	0	1	0	2	0	4	0	0	0	1	0	1	0	3	0	1	0	2	0	4	0	0	0	1	0	1	0	3	0	1	0	2	0	4	0	0	0	1	0	1	0	18799.621	0.0	0.0	0.0	13658.238	0.0	9615.615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18799.621	0.0	0.0	0.0	13658.238	0.0	9615.615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43426|SYNJ1_HUMAN	O43426	SYNJ1_HUMAN	SYNJ1	1573	Homo sapiens	1:Experimental evidence at protein level	Synaptojanin-1	1.0	0.999	6	171	171	171	17	10	11	10	13	13	16	10	11	9	11	14	13	13	17	10	11	10	13	13	16	10	11	9	11	14	13	13	17	10	11	10	13	13	16	10	11	9	11	14	13	13	468865.03	365159.88	562235.7	498404.72	576961.9	504548.22	380309.7	415316.12	537316.8	548364.4	563261.94	455557.62	639783.56	350052.5	164551.28	178415.1	178723.53	189853.27	200268.88	196469.62	164128.11	166445.6	192355.33	200773.33	212189.8	189638.36	160717.16	151600.22	
sp|O43427|FIBP_HUMAN	O43427	FIBP_HUMAN	FIBP	364	Homo sapiens	1:Experimental evidence at protein level	Acidic fibroblast growth factor intracellular-binding protein	1.0	0.999	1	7	7	7	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0.0	0.0	0.0	0.0	0.0	0.0	6168.2363	0.0	0.0	0.0	0.0	0.0	22329.785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6755.661	0.0	0.0	0.0	0.0	0.0	11118.902	0.0	
sp|O43432|IF4G3_HUMAN	O43432	IF4G3_HUMAN	EIF4G3	1585	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4 gamma 3	1.0	0.999	6	142	142	201	9	5	9	13	14	9	15	12	10	10	7	8	12	9	9	5	9	13	14	9	15	12	10	10	7	8	12	9	11	8	11	15	17	12	21	20	14	12	12	12	21	15	192095.72	48991.273	203927.02	299531.2	407414.8	255587.81	454085.38	333646.78	365946.3	211420.4	536793.2	429949.5	694278.4	422117.3	174887.3	47840.715	139050.48	135610.9	169018.67	125903.37	178205.55	130025.22	134362.16	119132.0	174947.02	111055.13	178385.23	124691.05	
sp|O43435|TBX1_HUMAN	O43435	TBX1_HUMAN	TBX1	398	Homo sapiens	1:Experimental evidence at protein level	T-box transcription factor TBX1	0.9997	0.9981	2	3	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	75963.27	135274.67	0.0	0.0	0.0	0.0	6751.7593	15935.488	0.0	21106.826	15738.564	27778.664	17774.656	23510.111	75963.27	135274.67	0.0	0.0	0.0	0.0	6751.7593	15935.488	0.0	21106.826	15738.564	27778.664	17774.656	23510.111	
sp|O43439|MTG8R_HUMAN	O43439	MTG8R_HUMAN	CBFA2T2	604	Homo sapiens	1:Experimental evidence at protein level	Protein CBFA2T2	1.0	0.999	2	42	42	42	4	5	4	5	2	2	2	2	2	4	2	4	2	2	4	5	4	5	2	2	2	2	2	4	2	4	2	2	4	5	4	5	2	2	2	2	2	4	2	4	2	2	76701.64	94238.984	88835.375	98643.09	126833.25	96517.87	59538.13	76876.78	128952.28	90680.93	68899.22	88687.47	42062.05	86964.46	51497.832	63842.094	59454.33	67153.266	47318.266	64471.637	59561.277	51047.945	48968.734	59984.76	44158.344	59188.01	42078.406	59044.33	
sp|O43447|PPIH_HUMAN	O43447	PPIH_HUMAN	PPIH	177	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase H	0.9752	0.9989	1	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43463|SUV91_HUMAN	O43463	SUV91_HUMAN	SUV39H1	412	Homo sapiens	1:Experimental evidence at protein level	Histone-lysine N-methyltransferase SUV39H1	1.0	0.999	5	45	45	45	0	0	0	0	1	0	8	4	0	0	6	5	12	9	0	0	0	0	1	0	8	4	0	0	6	5	12	9	0	0	0	0	1	0	8	4	0	0	6	5	12	9	0.0	0.0	0.0	0.0	49126.547	31128.326	127213.586	117355.56	40293.88	37726.582	107845.21	114882.28	274333.9	203674.25	0.0	0.0	0.0	0.0	27580.889	19797.59	44620.48	41509.543	24437.865	23190.498	46541.59	39668.707	69878.195	61797.977	
sp|O43474|KLF4_HUMAN	O43474	KLF4_HUMAN	KLF4	513	Homo sapiens	1:Experimental evidence at protein level	Krueppel-like factor 4	0.9969	0.999	2	3	3	3	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0.0	0.0	0.0	0.0	10249.776	12817.344	8775.598	10642.004	0.0	8201.156	10329.083	11795.216	14254.271	17474.412	0.0	0.0	0.0	0.0	10249.776	12817.344	8775.598	10642.004	0.0	8201.156	10329.083	11795.216	14254.271	17474.412	
